country,bar,restaurant,workplace,transport,ecig,enforcement,overall
Austria,2,2,2,1,4,3,3
Belgium,2,2,2,1,2,2,2
Bulgaria,1,1,1,1,4,3,3
Croatia,2,1,2,1,2,3,2
Cyprus,1,1,2,1,4,3,2
Czech Republic,3,3,2,2,4,3,3
Denmark,2,2,1,2,4,2,2
Estonia,2,2,2,2,4,2,2
Finland,2,2,2,2,2,1,2
France,2,2,2,1,2,1,1
Germany,2,2,2,2,2,2,2
Greece,2,1,1,1,4,3,3
Hungary,1,1,1,1,4,2,1
Iceland,1,1,2,1,4,1,1
Ireland,1,1,1,1,2,1,1
Italy,2,2,2,2,4,1,2
Latvia,1,1,2,2,2,1,1
Lithuania,1,1,2,2,4,1,1
Luxembourg,2,2,2,2,4,2,2
Malta,1,1,1,1,1,2,1
Netherlands,2,2,2,2,4,2,2
Norway,1,1,2,2,2,1,1
Poland,2,2,2,2,2,2,2
Portugal,2,2,2,1,4,2,2
Romania,2,2,2,3,4,3,3
Slovakia,3,2,2,2,2,3,3
Slovenia,2,2,2,2,4,1,2
Spain,1,1,1,1,2,2,1
Sweden,2,2,2,2,4,1,2
Switzerland,2,2,2,3,2,2,2
Turkey,1,1,1,1,4,1.5,1
UK,1,1,1,1,2,1,1
